userid	followers	friends/followees	posts	u_t	u_f	features
28555	17874	0	675	8	0	('TMZ', 'TMZ has consistently been credited for breaking the biggest stories dominating the entertainment news landscape and changing the way the public gets their news.', True)
45708734	121	13	598	302	0	('MSRNE', 'MSR New England pursues interdisciplinary research where both computer scientists & social scientists enable computing and online experiences of the future.', False)
30889300	175	20	9240	22	0	('gaminglot', '', False)
41792135	3101	3379	18999	60	0	()
1041957	1084	50	3193	5	1	('born4thesurf', 'Love cool stuff, gadgets, doodles, cars, snowboarding, design, surfing, guitars, photography, steak and chips.', False)
45887855	683	2001	3170	16	0	('PhotoCentrum', 'A photographer', False)
49614	38	0	3379	7	0	('NelsonPangNYC', '', False)
33603546	575	545	6432	33	5	()
55922657	404	772	673	0	6	()
13080305	884	98	846	7	0	('kcur', "Kansas City's @NPR station, located in the heart of #KansasCity", True)
14808579	43	19	22	0	15	('nmas', 'New Mexico AIDS Services - Offering comprehensive HIV &amp; AIDS services and prevention education since 1986.', False)
48151623	21	451	560	12	0	()
892	224	0	19105	3	8	('can_headlines', '', False)
73058	67	0	22833	12	0	('plymouth', 'Plymouth, Devon', False)
4270645	241	477	4604	8	0	('ClericJeriko', "You've Changed Things.... FOREVER", False)
61994	780	0	5461	14	0	('joystiqall', 'For selected stories: @joystiq', False)
33986646	936	667	1212	1	5	('MicrobeWorld', 'We love microbes _Ù_Ê !', False)
46060230	786	2001	5375	7	0	()
46849	437	0	11041	21	0	('eurweb', 'Breaking urban/black infotainment news - 24/7', False)
47419769	5258	43	408	0	8	('gagafans', 'The latest news on @ladygaga.', False)
34891224	1803	1998	2378	6	2	('_entertainment_', 'A Place to share all important and interesting information about your favorite topic with Twitter-Space,at one, moderated Twitter page and without usual noise.', False)
45241472	556	886	2633	0	8	('FixBayer', '', False)
48428454	43	276	60	6	0	()
10278418	4740	118	4550	6	0	('sohh', 'For All Rap, Hip-Hop & Urban News There Is https://t.co/rGXaqQ9gBE Follow us on IG/FB/Snapchat @sohhdotcom Periscope @sohh', True)
25980076	866	537	1886	40	0	('TheFastPitch', 'Your filter for Kansas City news #OurPitch', False)
48872364	67	88	2672	16	0	()
35478	6	0	22	7	0	()
31318992	226	14	3538	11	2	('TechBlogz', "A tech nut who wants to know everything that's happening and share all I know on the latest in tech.", False)
43981298	204	90	212	11	0	('PPGreatPlains', 'Make an appt: 1-800-230-PLAN', False)
51093837	653	772	2016	0	7	('leroy0812', 'viet vet, ex-cop,survivalist,family man love my children,conservative,christian #term limits, #2nd amendment,#Stop Barney Frank', False)
55848798	874	3676	1791	0	11	('PROMOpinion', 'Soccer and my website http://t.co/xH6Z9BTcwy', False)
34711253	51	119	1319	14	0	('Afroman231', 'I like to take surveys for money', False)
13420494	104	76	465	0	16	()
9456	980	0	6082	7	0	('MUFCNews', 'Get United News & Video delivered to your desktop http://t.co/5Jg7b4tb', False)
443113	609	530	2126	0	6	('Vaneska', '', False)
37484955	5047	5551	4994	15	0	()
46730408	14	21	6983	8	0	('CustomPolitics', '', False)
5770411	799	336	1290	81	0	('julia_reid_news', 'Freelance News / Programme Editor', False)
46931589	3002	117	2511	43	0	('lotfan', 'Up to the minute reports from Iran and the Green Movement', False)
8990	248	2	226	6	0	()
26101679	22252	23853	4621	8	0	('OnlyMobileNews', 'We follow the latest in mobile technology news', False)
40125	1530	0	14599	10	0	('NRKno', 'Den offisielle Twitter-kontoen til NRK. Tips oss pÌ´ telefon, sms og mms til 03030. 03030@nrk.no', True)
37733084	5773	6089	741	16	0	('SOHLTC', 'Pro-life, Abstinence, Chastity, Christ Centered Ministry protecting women & children, Against Abortion, Planned Parenthood, & Graphic Condom Ed #tcot prolife', False)
41736970	150	14	1180	5	4	('TwitSlave', "I'm really new to this, but lovin it so far. Help a model find her way online :-)", False)
53703886	58	91	925	7	0	('Parsa_SH', '', False)
46295098	2	19	26587	12	0	()
32691858	281	18	688	6	1	('Stupidceleb', "I'm as cool as the other side of the pillow.", False)
37471	1	0	67	8	0	('thisisgettingol', '', False)
7836260	54418	1157	24182	7	1	('HuffPost', 'At HuffPost, we put people first. We believe that real life is news, and news is personal. Read more: https://t.co/yRpf6zNyOL', True)
27747934	169	35	1939	9	0	('tim_smith_sea', 'Web Analytics Specialist at PEMCO Insurance', False)
55778501	118	86	738	0	6	('postpunkjustin', 'He/him. Intersectional feminism, functional programming, snark, and veganism. Software engineer. Reed College alum.', False)
16983873	11	11	886	0	14	('OnlyOneBakeBake', '', False)
26385432	1387	1640	2366	7	0	('Cypresso', '#Trump #MAGA #TRUMP2020 #KAG #AMERICAISGREAT  #TEAMTRUMP- Here to provide support for our #POTUS. #DrainTheSwamp #PatriotsUnite. Let me ride! IFB _Ù_Ç "love" DMs.', False)
40864273	191	180	1324	0	7	()
40179	82	0	7568	12	0	('newsnonstop', 'Uoffisiell feed fra Aftenposten.no', False)
34882960	116	4	2866	0	34	('irc', 'lulz every few hours or so', False)
48350639	85	96	863	229	0	('asmathews', 'Tech enthusiast, roadie cyclist, tennis and cycling fan, and Team Fatty member.  Completed NJ Longest Day (2010).  Software Engineer by day.', False)
46493916	339	342	1050	35	1	('Xenen82', 'Into video games?  Me too!  Everything from NES to Xbox 360 and PSP.', False)
47386549	17	286	113	28	0	()
27588149	1745	1546	5605	0	12	('wwmcneill', 'Long Haired - Capitalist - Constitutionalist - Libertarian Conservative - Musician  - Sailor - 5th Generation Texan - Son of Scotland', False)
31480592	198	125	2740	29	0	('Sairey_bearey', 'Lifestyle & beauty blogger. Freelance writer. Trainee historian. Often found with a glass of prosecco in hand, probably whilst making a playlist.', False)
40074055	100	51	3568	0	6	('DianaLeeIris', 'Welcome to the life of the calmest adrenaline junkie who lives where everyone would die to visit. -B/Vlogger | Youtuber | Coffee Enthusiast', False)
